Ticker,TF,Trades,Win%,AvgWin%,AvgLoss%,ProfitFactor,Expectancy%,TotalPnL%,AvgBars,TrailExits
AAPL,5m,21,38.1,1.11,-0.88,0.77,-0.124,-2.61,72.8,12
AAPL,15m,15,66.7,1.28,-0.98,2.62,0.53,7.95,43.0,9
MSFT,5m,20,40.0,1.3,-0.86,1.01,0.006,0.11,62.8,12
MSFT,15m,20,45.0,2.01,-0.8,2.05,0.465,9.31,28.8,11
NVDA,5m,35,37.1,1.98,-0.68,1.71,0.305,10.67,44.7,20
NVDA,15m,18,38.9,2.36,-0.8,1.87,0.427,7.69,26.3,12
TSLA,5m,45,42.2,2.35,-1.17,1.47,0.319,14.37,39.8,32
TSLA,15m,22,54.5,1.31,-1.07,1.48,0.232,5.1,19.3,20
GOOGL,5m,25,40.0,2.1,-1.12,1.26,0.171,4.27,71.5,18
GOOGL,15m,21,47.6,1.87,-1.01,1.68,0.359,7.54,27.0,13
META,5m,23,34.8,2.44,-1.07,1.21,0.149,3.43,52.0,12
META,15m,17,35.3,2.89,-1.63,0.97,-0.034,-0.58,26.0,12
AMZN,5m,31,48.4,2.47,-1.11,2.09,0.624,19.33,65.4,19
AMZN,15m,17,52.9,1.88,-0.99,2.13,0.527,8.96,25.9,14
SPY,5m,5,40.0,7.13,-0.83,5.7,2.351,11.75,568.4,3
SPY,15m,8,25.0,0.38,-0.72,0.17,-0.445,-3.56,51.1,4
QQQ,5m,12,58.3,2.29,-0.73,4.36,1.03,12.35,187.1,6
QQQ,15m,12,58.3,0.98,-0.83,1.65,0.225,2.7,50.3,6
JPM,5m,19,36.8,1.7,-1.01,0.98,-0.013,-0.25,65.5,11
JPM,15m,16,43.8,0.54,-0.62,0.67,-0.114,-1.83,30.4,5
NFLX,5m,29,31.0,1.23,-0.75,0.73,-0.138,-4.0,50.3,15
NFLX,15m,17,41.2,1.33,-1.17,0.8,-0.139,-2.37,33.5,16
AMD,5m,46,52.2,2.76,-1.16,2.59,0.882,40.56,34.7,36
AMD,15m,26,42.3,5.13,-1.45,2.59,1.333,34.66,12.8,24
INTC,5m,63,34.9,4.36,-1.09,2.15,0.814,51.3,20.9,53
INTC,15m,21,52.4,4.83,-2.04,2.6,1.557,32.7,10.0,21
BA,5m,30,56.7,1.38,-1.21,1.49,0.256,7.67,47.2,18
BA,15m,23,30.4,1.86,-1.11,0.73,-0.208,-4.78,18.1,17
DIS,5m,18,22.2,1.96,-0.77,0.73,-0.164,-2.95,84.8,11
DIS,15m,19,15.8,1.53,-1.02,0.28,-0.619,-11.76,23.6,13
